Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
India,IND,2006,ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,69
India,IND,2014,ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,76.9
India,IND,2016,ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,78.1
India,IND,2021,ARI treatment (% of children under 5 taken to a health provider),SH.STA.ARIC.ZS,69
India,IND,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,50.9
India,IND,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,50.9
India,IND,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,50.9
India,IND,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,49.81130981
India,IND,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,49.81130981
India,IND,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,49.81130981
India,IND,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,51.40877533
India,IND,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,51.40877533
India,IND,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,51.40877533
India,IND,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,53.00352097
India,IND,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,53.00352097
India,IND,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,53.00352097
India,IND,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,54.59486389
India,IND,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,54.59486389
India,IND,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,54.59486389
India,IND,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,56.18213272
India,IND,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,56.18213272
India,IND,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,56.18213272
India,IND,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.1
India,IND,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.1
India,IND,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.1
India,IND,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.3
India,IND,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.3
India,IND,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,60.3
India,IND,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,62
India,IND,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,62
India,IND,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,62
India,IND,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.3
India,IND,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.3
India,IND,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,62.3
India,IND,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,65.4
India,IND,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,65.4
India,IND,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,65.4
India,IND,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.4
India,IND,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.4
India,IND,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.4
India,IND,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,68.8
India,IND,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,68.8
India,IND,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,68.8
India,IND,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,67.9
India,IND,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,67.9
India,IND,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,67.9
India,IND,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,72.3
India,IND,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,72.3
India,IND,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,72.3
India,IND,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,74.1
India,IND,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,74.1
India,IND,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,74.1
India,IND,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,75
India,IND,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,75
India,IND,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,75
India,IND,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.3
India,IND,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.3
India,IND,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,76.3
India,IND,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,79.5
India,IND,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,79.5
India,IND,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,79.5
India,IND,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,79.9
India,IND,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,79.9
India,IND,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,79.9
India,IND,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,83.1
India,IND,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,83.1
India,IND,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,83.1
India,IND,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.1
India,IND,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.1
India,IND,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,85.1
India,IND,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,88
India,IND,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,88
India,IND,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,88
India,IND,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.6
India,IND,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.6
India,IND,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,89.6
India,IND,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.8
India,IND,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.8
India,IND,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,91.8
India,IND,2018,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.7
India,IND,2018,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.7
India,IND,2018,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.7
India,IND,2019,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.9
India,IND,2019,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.9
India,IND,2019,Access to electricity (% of population),EG.ELC.ACCS.ZS,95.9
India,IND,2020,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.5
India,IND,2020,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.5
India,IND,2020,Access to electricity (% of population),EG.ELC.ACCS.ZS,96.5
India,IND,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6
India,IND,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6
India,IND,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6
India,IND,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2
India,IND,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2
India,IND,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.2
India,IND,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,39.58033844
India,IND,1993,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,39.58033844
India,IND,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,37.11600572
India,IND,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,37.11600572
India,IND,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,38.92818073
India,IND,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,38.92818073
India,IND,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,40.74674064
India,IND,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,40.74674064
India,IND,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,42.57280058
India,IND,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,42.57280058
India,IND,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,44.40686797
India,IND,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,44.40686797
India,IND,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,48.29339736
India,IND,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,48.29339736
India,IND,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,49.2
India,IND,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,49.2
India,IND,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,51.2
India,IND,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,51.2
India,IND,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,51.3
India,IND,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,51.3
