STATE,REGION,COUNTY,FIPSCODE,YEAR,ACS_PCT_DISABLE,ACS_PCT_FEMALE,ACS_PCT_FOREIGN_BORN,ACS_PCT_NON_CITIZEN,ACS_PCT_ENGL_NOT_ALL,ACS_PCT_ENGL_NOT_WELL,ACS_PCT_CHILD_1FAM,ACS_PCT_UNEMPLOY,ACS_PCT_HH_PUB_ASSIST,ACS_PCT_LT_HS,ACS_MEDIAN_RENT,ACS_PCT_1UP_RENT_1ROOM,ACS_PCT_1UP_OWNER_1ROOM,ACS_PCT_1UP_PERS_1ROOM,ACS_PCT_HH_1PERS,ACS_PCT_10UNITS,ACS_PCT_GRP_QRT,ACS_PCT_COMMT_60MINUP,ACS_PCT_WORK_NO_CAR,ACS_PCT_WALK_2WORK,ACS_PCT_MEDICAID_ANY,ACS_PCT_MEDICARE_ONLY,ACS_PCT_OTHER_INS,ACS_PCT_PRIVATE_ANY,ACS_PCT_PRIVATE_EMPL,ACS_PCT_PRIVATE_MDCR,ACS_PCT_PRIVATE_OTHER,ACS_PCT_PRIVATE_SELF,ACS_PCT_PUBLIC_ONLY,ACS_PCT_PUBLIC_OTHER,ACS_PCT_TRICARE_VA,ACS_PCT_UNINSURED,AHRF_DAYS_AIR_QLT,AHRF_PCT_GOOD_AQ,AHRF_TXC_SITE_CNTRL,AHRF_TXC_SITE_NO_CNTRL,AHRF_HPSA_DENTIST,AHRF_HPSA_MENTAL,AHRF_HPSA_PRIM,ACS_PCT_GRANDP_RESPS_NO_P,ACS_PCT_GRANDP_NO_RESPS
Alabama,South,Autauga County,1001,2018,19.281,51.315,3.089,0.969,0.089,0.732,23.131,2.456,1.345,11.311,31.8,1.509,1.385,1.416,25.115,3.8,0.989,5.667,0.767,0.644,14.146,5.313,7.83,59.987,45.445,3.045,2.075,5.492,25.044,0.221,5.363,7.139,,,0,0,2,2,2,26.72,38.485
Alabama,South,Baldwin County,1003,2018,14.049,51.377,4.247,1.85,0.067,0.477,20.225,2.59,1.372,9.735,29.3,1.842,1.052,1.26,30.39,18.305,1.448,7.855,1.219,0.741,11.985,6.879,7.566,61.34,42.068,3.922,0.458,9.192,20.938,0.469,1.605,10.155,270,90.74,1,0,2,1,2,17.774,48.194
Alabama,South,Barbour County,1005,2018,22.192,46.874,2.688,1.42,0.18,1.451,53.077,4.382,2.841,26.969,28.9,3.412,3.404,3.407,32.55,1.273,11.248,8.022,4.158,2.16,27.659,5.9,7.862,45.136,29.298,3.09,0.533,6.346,35.823,1.093,1.171,11.179,,,0,0,2,2,2,27.895,38.605
Alabama,South,Bibb County,1007,2018,16.67,46.056,1.864,0.87,0.052,0.216,21.469,3.563,4.474,16.793,28.5,0.997,0.682,0.76,25.965,2.423,9.282,8.852,1.65,0.569,16.391,7.382,7.763,59.483,46.297,3.454,0.249,5.404,24.844,0.415,0.655,7.91,,,0,0,2,2,1,9.861,36.255
Alabama,South,Blount County,1009,2018,14.193,50.674,4.616,2.84,0.358,1.366,27.015,1.98,1.587,19.837,27.3,1.249,1.753,1.646,24.709,0.871,0.942,17.953,1.121,0.194,12.575,7.434,6.846,60.071,45.423,3.775,0.334,5.667,22.057,0.801,1.247,11.025,,,0,0,2,2,1,29.184,41.84
Alabama,South,Bullock County,1011,2018,14.442,45.296,1.236,0,0,0.441,72.21,5.824,4.378,24.775,33.7,0,0,0,29.62,1.679,4.154,12.813,5.282,6.002,26.949,7.046,4.67,49.689,39.918,3.387,0.14,3.157,34.857,0.651,0.21,10.784,,,0,0,2,1,1,27.885,34.615
Alabama,South,Butler County,1013,2018,17.695,53.218,1.663,0.679,0.425,0.069,46.17,3.55,1.476,15.416,27.2,2.778,1.343,1.774,30.501,1.337,1.608,6.695,2.523,0.942,18.03,8.625,9.679,51.997,36.181,4.13,0.887,5.569,28.165,0.436,1.074,10.16,,,1,0,2,1,1,29.449,22.677
Alabama,South,Calhoun County,1015,2018,20.78,51.941,3.6,1.357,0.204,0.788,36.174,4.975,1.712,15.947,29.1,2.437,1.397,1.714,26.796,3.707,2.704,7.379,1.616,1.286,17.761,5.044,10.094,55.595,39.999,3.643,0.75,6.029,24.901,0.588,1.508,9.41,,,1,1,2,1,0,30.047,37.568
Alabama,South,Chambers County,1017,2018,16.66,51.939,1.812,1.171,0.044,0.069,45.818,2.795,0.747,18.6,27.2,8.148,0.535,2.989,31.622,3.999,1.514,5.581,3.08,0.644,19.041,8.578,6.269,53.869,40.607,2.602,0.278,4.591,29.055,0.613,0.823,10.807,,,0,0,2,1,2,22.784,28.252
Alabama,South,Cherokee County,1019,2018,19.971,50.412,0.843,0.29,0,0.402,19.827,2.721,1.433,19.772,29.2,3.047,1.039,1.461,28.267,2.002,1.06,8.767,0.776,0.305,15.856,7.129,8.282,58.85,41.978,5.698,0.352,4.385,24.532,0.508,1.04,8.336,,,0,0,2,2,0,23.396,49.733
Alabama,South,Chilton County,1021,2018,17.666,50.667,5.106,3.697,0.221,1.667,32.245,3.871,1.946,17.796,29.5,5.056,1.914,2.704,24.912,0.73,0.917,17.702,1.895,0.459,17.375,5.533,6.68,55.296,41.306,2.791,0.19,5.242,23.862,0.459,0.495,14.162,,,0,0,2,0,2,23.444,43.969
Alabama,South,Choctaw County,1023,2018,28.405,52.176,0.688,0.191,0,0.411,42.641,4.667,0.804,18.588,35.2,2.3,1.126,1.364,32.037,1.117,1.4,15.967,1.878,1.481,21.004,7.926,7.516,50.066,32.862,3.422,0.232,5.971,30.977,1.074,0.973,11.441,,,0,0,2,1,1,23.973,13.927
Alabama,South,Clarke County,1025,2018,17.051,52.684,0.439,0.107,0,0.13,30.517,6.492,1.293,18.82,29.8,2.562,1.41,1.785,34.088,1.75,1.493,11.335,2.001,0.657,23.678,7.847,7.702,48.921,33.219,4.071,0.071,5.913,32.613,0.336,0.751,10.764,,,0,0,2,1,2,31.538,33.59
Alabama,South,Clay County,1027,2018,15.296,51.682,1.951,1.316,0,0.401,27.593,3.486,2.502,24.502,23.9,2.626,0.264,0.917,27.521,0.412,1.869,15.905,0.737,0.762,18.807,5.713,9.651,54.372,39.854,1.881,0.975,4.06,25.769,0.846,0.404,10.207,110,93.64,0,0,2,1,0,29,71
Alabama,South,Cleburne County,1029,2018,22.568,51.259,2.129,1.185,0.028,0.68,23.928,3.866,1.799,22.633,26.3,0.215,1.062,0.856,29.322,0.382,1.131,13.599,1.382,0.773,17.371,7.066,7.283,53.367,39.702,3.997,0.075,5.298,26.572,0.691,1.443,12.778,,,0,0,2,1,1,51.293,25.431
Alabama,South,Coffee County,1031,2018,17.725,50.643,5.481,1.981,0.2,1.181,34.004,3.384,1.349,13.843,25.4,2.311,0.866,1.375,27.652,0.931,1.172,4.52,3.328,0.881,16.248,3.691,11.702,46.834,32.988,2.434,3.344,3.727,31.371,0.377,11.055,10.093,,,0,0,2,1,0,33.547,37.764
